区,科,,,,単,,,,,,週時間数,,,,,,,科目,,区,科,,,必選,単,,,,,,週時間数,,,,,,,,,,,,科目
分,目 群,授業科目,,必選 位の別,1年 数 前期,,1年 後期,,2年 前期,,2年 後期 前期 3年,3年 後期,,4年 前期,,4年 後期,,ナンバ リング,,分,目 群,,授業科目,ナンバの別,位 数 前期 1年,,1年 後期,,2年 前期,,2年 後期 前期 3年,3年 後期,,4年 前期,,4年 後期,,PA,FW,GP,WC,MV,リング
"",地学実験(a),,,,1,,,,2,,(2),,,,,,,10-12B,,,学,電子回路,,○,2,,,,2,,,,,,,,,,,,,,13-234
"",地学実験(b),,,,1,,,,2,,(2),,,,,,,10-12C,,,科,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,応用電子回路,,,2,,,,,,2,,,,,,,,,,,,13-243
"",情報リテラシー演習(a),,,○,0.5 1,,,,,,,,,,,,,10-131,,,共,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,デジタル工学,,,2,,,,,,,2,,,,,,,,,,,13-342
"",情報リテラシー演習(b),,,○,0.5 1,,,,,,,,,,,,,10-132,,,通,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,通信工学,,,2,,,,2,,,,,,,,,,,,,,13-244
"",コンピュータ概論(a),,,,1,,1,,,,,,,,,,,10-231,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,符号理論,,,2,,,,,,2,,,,,,,,,,,,13-245
"",情 コンピュータ概論(b),,,,1,,1,,,,,,,,,,,10-232,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,伝送回路,,,2,,,,,,2,,,,,,,,,,,,13-341
"",報 プログラミング基礎(a),,,○,1,,1,,,,,,,,,,,10-233,,,,,,,,,,,,,,,,,,,,,,,,,
"",系 プログラミング基礎(b),,,○,1,,1,,,,,,,,,,,10-234,,,,通信信頼性工学,,,2,,,,,,,2,,,,,,,,,,,13-343
"",,,,,,,,,,,,,,,,,,,,,,電気電子通信技術英語(1),,,2,,,,,,2,,,,,,,,,,,,13-211
"",数値解析,,,,2,,,,,,2,,,,,,,10-331,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,電気電子通信技術英語(2),,,2,,,,,,,2,,,,,,,,,,,13-212
"",AI・ビッグデータ基礎,,,△1,1,,,,,,,2,,,,,,10-235,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,音響工学,,,2,,,,,,,2,,,,,,,,,,,13-356
"",AI・ビッグデータ応用,,,△1,1,,,,,,,2,,,,,,10-332,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,電気製図(a),,,1,,,,,,,2,,,,,,,,,,,13-351
"",技術者倫理,,,○,2,,,,,,,2,,,,,,10-241,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,電気製図(b),,,1,,,,,,,2,,,,,,,,,,,13-352
"",理 インターンシップ(1),,,,1,,,,,,,,,,,,,10-941,,,,,,,,,,,,,,,,,,,,,,,,,
"",工 インターンシップ(2),,,,1,,,,,,,,,,,,,10-942,,,,電気法規及び施設管理,,,2,,,,,,,,,2,,,,,,,,,13-353
"",学,,,,,,,,,,,,,,,,,,,,,プログラミング応用,,,2,,,,,,2,,,,,,,,,,,,13-354
"",海外体験実習(1),,,,2,,,,,,,,,,,,,10-943,,,,,,,,,,,,,,,,,,,,,,,,,
"",教,,,,,,,,,,,,,,,,,,,,,ディジタル信号処理,,,2,,,,,,2,,,,,,,,,,,,13-355
"",養 海外体験実習(2),,,,2,,,,,,,,,,,,,10-944,,,,知的財産,,,2 2,,,,,,,,,,,,,,,,,,13-113
"",系 金属加工(製図・実習含),,,,2,,,,,,2,,,,,,,10-341,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,サイバーフィジカルDX,,,2 2,,,,,,,,,,,,,,,,,,13-955
"",電気工学概論(実習含),,,,2,,,,2,,,,,,,,,10-342,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,特別講義(1),,,2,,,,,,,,,,,,,,,,,,13-951
"",10-151こ ことづくり(1),,,,2,,2,,,,,,,,,,,,,,,特別講義(2),,,2,,,,,,,,,,,,,,,,,,13-952
"",と ことづくり(2),,,,2,,,,2,,,,,,,,,10-251,,,,特別講義(3),,,2,,,,,,,,,,,,,,,,,,13-953
"",づ ことづくり(3),,,,2,,,,,,2,,,,,,,10-252,,,,,,,,,,,,,,,,,,,,,,,,,
"",く ことづくり(4),,,,2,,,,,,2,,,,,,,10-351,,科目ナンバリング: YY-LMD,,,,,,,,,,,,,,,,,,,,,,,
"",り,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",ことづくり(5),,,,1,,,,,,,1,,,,,,10-352,,YY:科目区分,,13:電気電子通信工学科 専門科目,,,,,,,,,,,,,,,,,,,,,
